video_id,participant_id,length,prob
P19_03,P19,8183,0.0009547309584959796
P19_04,P19,54854,0.006399952584301413
P20_01,P20,82716,0.009650681408157577
P20_02,P20,25699,0.002998366235169031
P20_03,P20,12791,0.0014923577771137817
P20_04,P20,135073,0.015759302793221002
P21_01,P21,41584,0.0048517086860682904
P21_03,P21,35165,0.0041027879940744374
P21_04,P21,34162,0.003985765489935189
P22_05,P22,74170,0.008653598336997043
P22_06,P22,26684,0.0031132886345480535
P22_07,P22,130844,0.015265894847054621
P22_08,P22,55276,0.006449188373680041
P22_09,P22,25617,0.0029887990912613356
P22_10,P22,57712,0.006733402551230597
P22_11,P22,25628,0.0029900824886148073
P22_12,P22,41140,0.0047999061019827205
P22_13,P22,30032,0.0035039081199500503
P22_14,P22,42215,0.004925329025162872
P22_15,P22,36548,0.004264146043151786
P22_16,P22,87708,0.010233110461660196
P22_17,P22,78241,0.00912857203026811
P23_01,P23,5518,0.0006437987814958836
P23_02,P23,100101,0.011679032589075652
P23_03,P23,21843,0.0025484771265339955
P23_04,P23,134853,0.015733634846151576
P24_01,P24,43521,0.005077703292765921
P24_02,P24,48731,0.005685566948364608
P24_03,P24,29379,0.0034277209861485257
P24_04,P24,29636,0.003457705815225083
P24_05,P24,96061,0.01120767574289164
P24_06,P24,33985,0.003965114459792969
P24_07,P24,54696,0.006381518331406098
P24_08,P24,90780,0.01059152834073873
P25_01,P25,6914,0.0008066735729000615
P25_02,P25,15224,0.0017762219372043008
P25_03,P25,10908,0.0012726634846968283
P25_04,P25,35661,0.004160657547467327
P25_05,P25,89512,0.01044358762762949
P25_09,P25,52585,0.006135222712026285
P25_10,P25,22484,0.002623264190495369
P25_11,P25,22710,0.002649632172484871
P25_12,P25,5770,0.0006732002481390447
P26_01,P26,4790,0.0005588612111934183
P26_02,P26,27889,0.003253878980996502
P26_03,P26,18757,0.002188425832641952
P26_04,P26,8735,0.0010191341711429038
P26_05,P26,2734,0.00031898257858096156
P26_06,P26,1644,0.00019180956810062208
P26_07,P26,1469,0.00017139188293176024
P26_08,P26,3108,0.00036261808859898626
P26_09,P26,7336,0.0008559093622786884
P26_10,P26,8051,0.0009393301902543238
P26_11,P26,5896,0.0006879009814606252
P26_12,P26,1126,0.00013137322000079103
P26_13,P26,7400,0.0008633764014261578
P26_14,P26,1953,0.00022786136648449812
P26_15,P26,2153,0.00025119586382034025
P26_16,P26,3912,0.00045642276788907156
P26_17,P26,3991,0.0004656398943367292
P26_18,P26,26895,0.003137906529237367
P26_19,P26,28326,0.003304864857675317
P26_20,P26,2257,0.00026332980243497814
P26_21,P26,27935,0.003259245915383746
P26_22,P26,8419,0.0009822656653522732
P26_23,P26,5140,0.0005996965815311421
P26_24,P26,3513,0.00040987044570406654
P26_25,P26,2367,0.0002761637759696913
P26_26,P26,4229,0.0004934079461663813
P26_27,P26,1687,0.00019682648502782814
P26_28,P26,7926,0.0009247461294194225
P26_29,P26,3335,0.00038910274307516705
P27_01,P27,16936,0.001975965234399109
P27_02,P27,10889,0.0012704467074499232
P27_03,P27,5887,0.0006868509290805123
P27_04,P27,19880,0.002319449035182705
P27_06,P27,53969,0.0062966974335903125
P27_07,P27,57248,0.006679266517411443
P28_01,P28,20348,0.0023740517589485757
P28_02,P28,30388,0.003545443525207849
P28_03,P28,46957,0.005478589956995688
P28_04,P28,27193,0.0031726749302677716
P28_05,P28,31432,0.003667249601300945
P28_06,P28,44648,0.005209193185253391
P28_07,P28,7855,0.0009164623828651986
P28_08,P28,20220,0.0023591176806536367
P28_09,P28,29951,0.003494457648529034
P28_10,P28,3665,0.00042760466367930655
P28_11,P28,19703,0.002298798005040485
P28_12,P28,1630,0.00019017615328711314
P28_13,P28,9000,0.0010500523801128946
P28_14,P28,16741,0.001953214099496663
P29_01,P29,81036,0.009454671630536503
P29_02,P29,11621,0.0013558509676991053
P29_03,P29,124487,0.01452420784923488
P29_04,P29,10784,0.0012581960963486062
P30_01,P30,4499,0.0005249095175697681
P30_02,P30,14270,0.001664916384912334
P30_03,P30,31279,0.0036493987108390255
P30_04,P30,42610,0.00497141465740116
P30_05,P30,195727,0.022835955800261837
P30_06,P30,24088,0.002810406859128823
P30_10,P30,47561,0.005549060138949931
P30_11,P30,20684,0.00241325371447279
P31_01,P31,28528,0.0033284326999845175
P31_02,P31,12524,0.0014612062231704325
P31_03,P31,16470,0.0019215958556065972
P31_04,P31,5801,0.0006768170952261002
P31_05,P31,29010,0.003384668838563897
P31_06,P31,11253,0.0013129154926011558
P31_07,P31,15145,0.0017670048107566432
P31_08,P31,50283,0.005866642647690742
P31_09,P31,15301,0.0017852057186786001
P31_13,P31,39503,0.004608913241288853
P31_14,P31,18819,0.0021956595268160625
